Date,Price,Open,High,Low,Volume,Change
"Aug 08, 2012",1409.25,1409.0,1411.65,1399.1,-,-0.01
"Aug 07, 2012",1409.4,1401.1,1414.25,1400.25,-,0.58
"Aug 06, 2012",1401.3,1407.15,1408.55,1393.05,-,-0.41
"Aug 05, 2012",1407.1,1405.85,1408.05,1404.4,-,0.07
"Aug 03, 2012",1406.05,1388.2,1420.85,1384.4,-,1.25
"Aug 02, 2012",1388.7,1402.15,1409.75,1383.7,-,-0.96
"Aug 01, 2012",1402.2,1410.15,1418.35,1387.8,-,-0.59
"Jul 31, 2012",1410.5,1415.85,1434.4,1409.85,-,-0.39
"Jul 30, 2012",1416.05,1410.9,1420.1,1398.2,-,0.37
"Jul 29, 2012",1410.8,1411.75,1414.95,1410.65,-,-0.05
"Jul 27, 2012",1411.45,1405.2,1420.05,1405.2,-,0.44
"Jul 26, 2012",1405.3,1400.25,1415.4,1396.35,-,0.44
"Jul 25, 2012",1399.15,1387.9,1406.65,1383.55,-,0.81
"Jul 24, 2012",1387.95,1400.75,1405.95,1380.5,-,-0.82
"Jul 23, 2012",1399.4,1407.85,1407.85,1389.25,-,-0.65
"Jul 22, 2012",1408.55,1411.15,1414.0,1408.4,-,-0.48
"Jul 20, 2012",1415.35,1420.25,1420.25,1407.75,-,-0.36
"Jul 19, 2012",1420.45,1409.0,1427.6,1406.55,-,0.82
"Jul 18, 2012",1408.9,1420.65,1420.75,1403.8,-,-0.84
"Jul 17, 2012",1420.8,1422.65,1432.0,1408.2,-,-0.13
"Jul 16, 2012",1422.6,1436.8,1437.7,1415.45,-,-1.09
"Jul 15, 2012",1438.3,1432.15,1441.3,1430.55,-,0.4
"Jul 13, 2012",1432.5,1419.1,1435.9,1417.1,-,0.95
"Jul 12, 2012",1419.0,1427.6,1429.55,1405.75,-,-0.6
"Jul 11, 2012",1427.6,1428.4,1436.15,1420.8,-,-0.05
"Jul 10, 2012",1428.35,1446.45,1454.35,1423.05,-,-1.26
"Jul 09, 2012",1446.6,1441.55,1450.9,1435.05,-,0.35
"Jul 08, 2012",1441.5,1445.95,1448.35,1441.35,-,-0.3
"Jul 06, 2012",1445.85,1477.65,1478.95,1440.45,-,-2.15
"Jul 05, 2012",1477.6,1484.0,1493.5,1466.5,-,-0.42
"Jul 04, 2012",1483.9,1487.4,1491.9,1473.5,-,-0.22
"Jul 03, 2012",1487.2,1450.9,1492.9,1449.3,-,2.51
"Jul 02, 2012",1450.75,1449.55,1459.05,1435.3,-,0.18
"Jul 01, 2012",1448.2,1449.35,1452.95,1447.6,-,-0.08
"Jun 29, 2012",1449.35,1391.0,1453.3,1385.4,-,4.19
"Jun 28, 2012",1391.1,1416.55,1421.2,1386.45,-,-1.8
"Jun 27, 2012",1416.6,1431.0,1432.2,1406.65,-,-1.05
"Jun 26, 2012",1431.65,1445.9,1446.8,1428.65,-,-0.92
"Jun 25, 2012",1444.9,1437.75,1447.3,1432.25,-,0.47
"Jun 24, 2012",1438.2,1439.15,1439.15,1432.9,-,0.17
"Jun 22, 2012",1435.8,1436.15,1439.15,1421.3,-,-0.01
"Jun 21, 2012",1435.9,1457.6,1462.2,1431.65,-,-1.5
"Jun 20, 2012",1457.8,1484.9,1487.3,1452.3,-,-1.82
"Jun 19, 2012",1484.8,1487.5,1492.55,1477.75,-,-0.19
"Jun 18, 2012",1487.6,1493.45,1504.15,1479.45,-,-0.31
"Jun 17, 2012",1492.25,1484.5,1492.25,1480.35,-,0.65
"Jun 15, 2012",1482.6,1491.9,1498.85,1481.25,-,-0.61
"Jun 14, 2012",1491.65,1459.8,1494.75,1458.2,-,2.22
"Jun 13, 2012",1459.3,1451.4,1469.65,1446.55,-,0.52
"Jun 12, 2012",1451.7,1437.6,1456.35,1423.6,-,0.97
"Jun 11, 2012",1437.8,1446.1,1456.9,1437.8,-,-0.65
"Jun 10, 2012",1447.25,1439.15,1447.85,1438.2,-,0.94
"Jun 08, 2012",1433.75,1444.6,1446.3,1413.95,-,-0.78
"Jun 07, 2012",1445.0,1464.15,1470.95,1436.05,-,-1.32
"Jun 06, 2012",1464.3,1439.3,1470.35,1433.65,-,1.68
